,index,Industry,Y,assets,bea_ind_code,delta,eatr_d,eatr_e,eatr_mix,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
88,88,Wood products,49.75998,13100141973.21793,3210,0.04885,0.20752,0.18649,0.19258,Manufacturing,0.22987,0.15458,0.17183,0.22987,0.15458,0.17183,0.04552,0.06233,0.05745,non-corporate,0.01046,0.00964,0.00987,0.09437,0.11119,0.10631,0.45585,0.43200,0.43822
89,89,Paper products,35.24665,18990987477.75871,3220,0.07114,0.19853,0.17432,0.18133,Manufacturing,0.18979,0.11113,0.12915,0.18979,0.11113,0.12915,0.04327,0.05929,0.05464,non-corporate,0.00821,0.00659,0.00706,0.11441,0.13043,0.12578,0.63784,0.62077,0.62523
90,90,Printing and related support activities,29.64849,7652157518.59406,3230,0.08458,0.19761,0.17314,0.18022,Manufacturing,0.18545,0.10668,0.12471,0.18545,0.10668,0.12471,0.04304,0.05899,0.05436,non-corporate,0.00798,0.00629,0.00678,0.12761,0.14357,0.13894,0.68043,0.65922,0.66475
91,91,Petroleum and coal products,57.31094,36804972259.27284,3240,0.04485,0.20568,0.18419,0.19041,Manufacturing,0.22196,0.14669,0.16395,0.22196,0.14669,0.16395,0.04506,0.06176,0.05691,non-corporate,0.01000,0.00906,0.00933,0.08991,0.10661,0.10177,0.41766,0.40585,0.40893
92,92,Chemical products,28.24831,155956627360.72098,3250,0.07815,0.19298,0.16686,0.17443,Manufacturing,0.16291,0.08223,0.10072,0.16291,0.08223,0.10072,0.04188,0.05742,0.05291,non-corporate,0.00682,0.00472,0.00533,0.12003,0.13557,0.13106,0.72674,0.71707,0.71959
93,93,Plastics and rubber products,41.70295,18759113941.02066,3260,0.06817,0.20130,0.17785,0.18465,Manufacturing,0.20258,0.12421,0.14219,0.20258,0.12421,0.14219,0.04396,0.06017,0.05547,non-corporate,0.00891,0.00747,0.00789,0.11214,0.12835,0.12364,0.57212,0.55681,0.56080
94,94,Nonmetallic mineral products,50.65769,17930326841.17467,3270,0.05431,0.20465,0.18279,0.18912,Manufacturing,0.21749,0.14181,0.15915,0.21749,0.14181,0.15915,0.04480,0.06141,0.05659,non-corporate,0.00974,0.00871,0.00901,0.09912,0.11572,0.11090,0.47114,0.45472,0.45900
95,95,Primary metals,43.39133,31384946425.55616,3310,0.05661,0.20342,0.18076,0.18732,Manufacturing,0.21210,0.13468,0.15243,0.21210,0.13468,0.15243,0.04449,0.06090,0.05614,non-corporate,0.00944,0.00820,0.00856,0.10110,0.11751,0.11275,0.54261,0.52305,0.52816
96,96,Fabricated metal products,40.57109,33868174282.69432,3320,0.06834,0.20126,0.17785,0.18463,Manufacturing,0.20238,0.12419,0.14212,0.20238,0.12419,0.14212,0.04395,0.06017,0.05547,non-corporate,0.00890,0.00747,0.00788,0.11230,0.12852,0.12381,0.57917,0.56222,0.56664
97,97,Machinery,45.59719,44994036766.73473,3330,0.07085,0.20226,0.17908,0.18580,Manufacturing,0.20692,0.12865,0.14662,0.20692,0.12865,0.14662,0.04420,0.06048,0.05576,non-corporate,0.00915,0.00778,0.00818,0.11506,0.13133,0.12661,0.53910,0.52601,0.52942
98,98,Computer and electronic products,27.75599,67202508361.14622,3340,0.14689,0.19511,0.16978,0.17712,Manufacturing,0.17345,0.09379,0.11203,0.17345,0.09379,0.11203,0.04241,0.05815,0.05359,non-corporate,0.00736,0.00545,0.00600,0.18931,0.20504,0.20048,0.71027,0.69398,0.69823
99,99,"Electrical equipment, appliances, and components",51.19822,13457767002.27841,3350,0.06238,0.20585,0.18391,0.19026,Manufacturing,0.22273,0.14571,0.16339,0.22273,0.14571,0.16339,0.04510,0.06169,0.05688,non-corporate,0.01005,0.00899,0.00929,0.10748,0.12407,0.11926,0.46927,0.45320,0.45739
100,100,"Motor vehicles, bodies and trailers, and parts",39.59103,37968439962.33989,336M,0.10231,0.19947,0.17542,0.18239,Manufacturing,0.19418,0.11527,0.13338,0.19418,0.11527,0.13338,0.04351,0.05956,0.05491,non-corporate,0.00845,0.00687,0.00732,0.14581,0.16187,0.15721,0.60240,0.58910,0.59257
101,101,Other transportation equipment,55.71089,37605705698.82620,336O,0.06783,0.20749,0.18589,0.19215,Manufacturing,0.22974,0.15254,0.17029,0.22974,0.15254,0.17029,0.04551,0.06218,0.05735,non-corporate,0.01046,0.00949,0.00977,0.11334,0.13001,0.12518,0.42772,0.41462,0.41803
102,102,Furniture and related products,46.12348,3398491339.24600,3370,0.06149,0.20595,0.18418,0.19048,Manufacturing,0.22316,0.14668,0.16421,0.22316,0.14668,0.16421,0.04513,0.06176,0.05693,non-corporate,0.01007,0.00906,0.00935,0.10662,0.12325,0.11842,0.49814,0.47548,0.48139
103,103,Miscellaneous manufacturing,44.10283,21983133311.41251,338A,0.07690,0.20194,0.17866,0.18541,Manufacturing,0.20549,0.12713,0.14512,0.20549,0.12713,0.14512,0.04412,0.06037,0.05566,non-corporate,0.00907,0.00768,0.00808,0.12103,0.13728,0.13256,0.55158,0.53771,0.54133
104,104,Oil and gas extraction,9.26036,250060628349.92041,2110,0.07292,0.18216,0.15251,0.16111,Mining,0.10505,0.02102,0.04026,0.10505,0.02102,0.04026,0.03917,0.05383,0.04958,non-corporate,0.00412,0.00113,0.00200,0.11209,0.12675,0.12249,0.94264,0.93840,0.93951
105,105,"Mining, except oil and gas",36.47161,42556976403.16281,2120,0.05093,0.19514,0.17018,0.17741,Mining,0.17359,0.09535,0.11326,0.17359,0.09535,0.11326,0.04242,0.05825,0.05366,non-corporate,0.00736,0.00555,0.00608,0.09335,0.10919,0.10459,0.64869,0.63900,0.64153
106,106,Support activities for mining,15.74712,25044165259.30807,2130,0.09481,0.18428,0.15539,0.16377,Mining,0.11702,0.03394,0.05297,0.11702,0.03394,0.05297,0.03970,0.05455,0.05024,non-corporate,0.00465,0.00185,0.00266,0.13452,0.14936,0.14506,0.89092,0.88637,0.88755
107,107,"Other services, except government",36.31857,434659499245.39331,8100,0.04450,0.20315,0.18185,0.18798,"Other services, except government",0.21091,0.13852,0.15490,0.21091,0.13852,0.15490,0.04443,0.06117,0.05630,non-corporate,0.00937,0.00847,0.00872,0.08893,0.10568,0.10081,0.56117,0.51790,0.52929
108,108,Legal services,29.93984,24694671280.08685,5411,0.09912,0.20149,0.17904,0.18552,"Professional, scientific, and technical services",0.20346,0.12850,0.14556,0.20346,0.12850,0.14556,0.04401,0.06047,0.05569,non-corporate,0.00895,0.00777,0.00811,0.14313,0.15959,0.15481,0.61812,0.58146,0.59103
109,109,"Miscellaneous professional, scientific, and technical services",19.84614,250145961935.08807,5412,0.14671,0.19075,0.16424,0.17191,"Professional, scientific, and technical services",0.15164,0.07163,0.08991,0.15164,0.07163,0.08991,0.04132,0.05676,0.05228,non-corporate,0.00627,0.00407,0.00470,0.18803,0.20347,0.19899,0.79094,0.77458,0.77885
110,110,Computer systems design and related services,22.66047,34987856978.92335,5415,0.19874,0.19422,0.16901,0.17630,"Professional, scientific, and technical services",0.16908,0.09076,0.10864,0.16908,0.09076,0.10864,0.04219,0.05796,0.05338,non-corporate,0.00713,0.00526,0.00580,0.24093,0.25670,0.25212,0.73498,0.71199,0.71799
111,111,Real estate,84.96022,10194539931205.20117,5310,0.00516,0.21525,0.19825,0.20316,Real estate and rental and leasing,0.26124,0.19271,0.20834,0.26124,0.19271,0.20834,0.04745,0.06528,0.06010,non-corporate,0.01240,0.01258,0.01252,0.05261,0.07044,0.06526,0.11157,0.09771,0.10139
112,112,Rental and leasing services and lessors of intangible assets,14.26025,187611316433.88910,5320,0.13356,0.18362,0.15453,0.16296,Real estate and rental and leasing,0.11331,0.03011,0.04916,0.11331,0.03011,0.04916,0.03954,0.05433,0.05004,non-corporate,0.00448,0.00164,0.00246,0.17310,0.18790,0.18361,0.89796,0.89450,0.89541
113,113,Retail trade,68.40422,599107994988.67297,44RT,0.02814,0.21541,0.19692,0.20227,Retail trade,0.26188,0.18856,0.20537,0.26188,0.18856,0.20537,0.04749,0.06494,0.05988,non-corporate,0.01244,0.01225,0.01230,0.07563,0.09308,0.08802,0.25912,0.23666,0.24252
114,114,Air transportation,14.96155,47796425035.43796,4810,0.07360,0.18799,0.16056,0.16850,Transportation and warehousing,0.13719,0.05632,0.07479,0.13719,0.05632,0.07479,0.04063,0.05584,0.05143,non-corporate,0.00557,0.00315,0.00385,0.11423,0.12944,0.12503,0.84653,0.83107,0.83510
115,115,Railroad transportation,15.14169,83039763589.18028,4820,0.03034,0.18044,0.15021,0.15898,Transportation and warehousing,0.09511,0.01043,0.02983,0.09511,0.01043,0.02983,0.03874,0.05325,0.04905,non-corporate,0.00368,0.00056,0.00146,0.06909,0.08360,0.07939,0.95960,0.95940,0.95945
116,116,Water transportation,17.50642,9217710064.52573,4830,0.06936,0.18601,0.15782,0.16598,Transportation and warehousing,0.12656,0.04457,0.06332,0.12656,0.04457,0.06332,0.04014,0.05516,0.05080,non-corporate,0.00508,0.00246,0.00322,0.10950,0.12452,0.12016,0.87058,0.86079,0.86335
117,117,Truck transportation,19.74733,37317255861.67974,4840,0.13042,0.18865,0.16135,0.16926,Transportation and warehousing,0.14068,0.05964,0.07818,0.14068,0.05964,0.07818,0.04080,0.05604,0.05162,non-corporate,0.00574,0.00334,0.00404,0.17121,0.18646,0.18204,0.81402,0.80381,0.80647
118,118,Transit and ground passenger transportation,25.50512,10233125938.31284,4850,0.08065,0.19791,0.17417,0.18103,Transportation and warehousing,0.18690,0.11057,0.12795,0.18690,0.11057,0.12795,0.04312,0.05925,0.05456,non-corporate,0.00806,0.00655,0.00698,0.12377,0.13990,0.13522,0.68579,0.65287,0.66145
119,119,Pipeline transportation,8.49334,33708295455.20280,4860,0.05378,0.18199,0.15233,0.16093,Transportation and warehousing,0.10410,0.02019,0.03939,0.10410,0.02019,0.03939,0.03913,0.05378,0.04953,non-corporate,0.00407,0.00109,0.00195,0.09291,0.10757,0.10332,0.94865,0.94324,0.94465
120,120,Other transportation and support activities,23.54062,34235605978.81979,487S,0.06371,0.18892,0.16181,0.16966,Transportation and warehousing,0.14210,0.06157,0.07997,0.14210,0.06157,0.07997,0.04086,0.05616,0.05172,non-corporate,0.00581,0.00346,0.00414,0.10458,0.11987,0.11543,0.80806,0.79573,0.79894
121,121,Warehousing and storage,38.87182,15189477206.55462,4930,0.04458,0.20767,0.18763,0.19341,Transportation and warehousing,0.23051,0.15844,0.17481,0.23051,0.15844,0.17481,0.04556,0.06262,0.05766,non-corporate,0.01050,0.00992,0.01008,0.09014,0.10720,0.10224,0.49456,0.44882,0.46075
122,122,Utilities,16.13995,110848021471.90637,2200,0.04133,0.18089,0.15080,0.15952,Utilities,0.09771,0.01315,0.03252,0.09771,0.01315,0.03252,0.03885,0.05340,0.04918,non-corporate,0.00380,0.00070,0.00160,0.08019,0.09473,0.09051,0.95540,0.95415,0.95447
123,123,Wholesale trade,74.90337,387578651034.04889,4200,0.03635,0.21497,0.19578,0.20134,Wholesale trade,0.26016,0.18497,0.20228,0.26016,0.18497,0.20228,0.04738,0.06466,0.05965,non-corporate,0.01233,0.01196,0.01207,0.08374,0.10101,0.09600,0.23324,0.22358,0.22610
124,124,Accommodation and food services,57.53282,422339182442.50781,,0.03387,0.13261,0.20037,0.17864,Accommodation and food services,-0.12481,0.18288,0.11053,0.13970,0.25757,0.22977,0.04623,0.07098,0.06305,corporate,0.00646,0.01828,0.01449,0.08010,0.10485,0.09692,0.34724,0.30523,0.31688
125,125,Administrative and waste management services,25.41352,175956964097.71542,,0.10934,0.11191,0.16886,0.15061,Administrative and waste management services,-0.26862,0.07939,-0.00230,0.02972,0.16354,0.13207,0.04099,0.06300,0.05595,corporate,0.00122,0.01030,0.00739,0.15033,0.17234,0.16529,0.76440,0.74336,0.74919
126,126,"Agriculture, forestry, fishing, and hunting",56.81278,393953898679.37433,,0.03838,0.12077,0.18157,0.16212,"Agriculture, forestry, fishing, and hunting",-0.20279,0.12414,0.04731,0.08006,0.20420,0.17503,0.04323,0.06622,0.05887,corporate,0.00346,0.01352,0.01030,0.08161,0.10460,0.09725,0.49624,0.49541,0.49564
127,127,"Arts, entertainment, and recreation",32.00288,183023311189.45822,,0.05550,0.11429,0.17260,0.15392,"Arts, entertainment, and recreation",-0.25023,0.09302,0.01248,0.04378,0.17593,0.14487,0.04159,0.06395,0.05679,corporate,0.00182,0.01125,0.00823,0.09709,0.11945,0.11229,0.69285,0.67354,0.67889
130,130,Finance and insurance,28.64482,1136731273762.68823,,0.10585,0.12042,0.18187,0.16215,Finance and insurance,-0.20525,0.12512,0.04745,0.07818,0.20509,0.17515,0.04314,0.06630,0.05887,corporate,0.00337,0.01360,0.01031,0.14899,0.17214,0.16472,0.64691,0.60323,0.61534
131,131,Health care and social assistance,31.95205,742735929973.70728,,0.05691,0.12411,0.18830,0.16767,Health care and social assistance,-0.17974,0.14610,0.06954,0.09769,0.22416,0.19428,0.04408,0.06792,0.06027,corporate,0.00431,0.01523,0.01171,0.10099,0.12484,0.11718,0.57285,0.51200,0.52887
132,132,Information,18.40316,1889701073104.17749,,0.09138,0.10496,0.15816,0.14113,Information,-0.32553,0.03806,-0.04722,-0.01381,0.12599,0.09317,0.03923,0.06029,0.05355,corporate,-0.00054,0.00760,0.00499,0.13061,0.15167,0.14493,0.89309,0.88368,0.88629
133,133,Management of companies and enterprises,44.32188,424413435043.75659,,0.07542,0.12872,0.19460,0.17346,Management of companies and enterprises,-0.14931,0.16568,0.09161,0.12097,0.24195,0.21339,0.04524,0.06952,0.06174,corporate,0.00547,0.01682,0.01317,0.12067,0.14494,0.13716,0.46401,0.41428,0.42807
134,134,Manufacturing,36.92289,3957731548856.36719,,0.08262,0.11945,0.17950,0.16027,Manufacturing,-0.21214,0.11714,0.03966,0.07291,0.19784,0.16841,0.04290,0.06570,0.05840,corporate,0.00313,0.01300,0.00983,0.12552,0.14832,0.14102,0.62095,0.60006,0.60585
135,135,Mining,11.98029,1516827958990.16870,,0.07289,0.10385,0.15641,0.13958,Mining,-0.33508,0.03091,-0.05493,-0.02112,0.11949,0.08650,0.03895,0.05985,0.05316,corporate,-0.00082,0.00715,0.00460,0.11184,0.13274,0.12605,0.91436,0.90749,0.90940
136,136,"Other services, except government",38.49273,227393671624.08221,,0.04298,0.12455,0.18905,0.16831,"Other services, except government",-0.17672,0.14847,0.07205,0.10000,0.22631,0.19645,0.04419,0.06811,0.06043,corporate,0.00442,0.01541,0.01187,0.08717,0.11110,0.10342,0.54407,0.48734,0.50327
137,137,"Professional, scientific, and technical services",20.56875,311940720409.51123,,0.15141,0.11245,0.16954,0.15124,"Professional, scientific, and technical services",-0.26437,0.08191,0.00057,0.03296,0.16583,0.13456,0.04113,0.06317,0.05611,corporate,0.00136,0.01048,0.00755,0.19253,0.21458,0.20752,0.77606,0.75081,0.75781
138,138,Real estate and rental and leasing,78.11816,2794042661352.66748,,0.01684,0.13340,0.20232,0.18023,Real estate and rental and leasing,-0.11993,0.18851,0.11617,0.14344,0.26268,0.23466,0.04643,0.07147,0.06345,corporate,0.00666,0.01877,0.01489,0.06327,0.08832,0.08029,0.18649,0.16832,0.17347
140,140,Transportation and warehousing,16.62231,1016356440895.40027,,0.06020,0.10596,0.15976,0.14253,Transportation and warehousing,-0.31703,0.04446,-0.04033,-0.00732,0.13181,0.09914,0.03948,0.06070,0.05391,corporate,-0.00029,0.00800,0.00534,0.09968,0.12090,0.11411,0.87724,0.86471,0.86818
143,143,Accommodation and food services,51.99285,453453559856.99200,,0.03613,0.21177,0.19292,0.19836,Accommodation and food services,0.24744,0.17585,0.19217,0.24744,0.17585,0.19217,0.04658,0.06394,0.05890,non-corporate,0.01153,0.01124,0.01132,0.08272,0.10007,0.09503,0.38127,0.34349,0.35335
144,144,Administrative and waste management services,24.64493,133222200108.78630,,0.11416,0.19136,0.16514,0.17273,Administrative and waste management services,0.15475,0.07531,0.09346,0.15475,0.07531,0.09346,0.04148,0.05699,0.05249,non-corporate,0.00642,0.00429,0.00491,0.15564,0.17115,0.16665,0.76715,0.75109,0.75528
145,145,"Agriculture, forestry, fishing, and hunting",65.56676,878144931747.60754,,0.03088,0.20376,0.18167,0.18808,"Agriculture, forestry, fishing, and hunting",0.21361,0.13790,0.15528,0.21361,0.13790,0.15528,0.04458,0.06113,0.05633,non-corporate,0.00952,0.00843,0.00875,0.07546,0.09201,0.08721,0.39414,0.39346,0.39364
146,146,"Arts, entertainment, and recreation",30.79395,189876790496.84369,,0.05699,0.19329,0.16785,0.17522,"Arts, entertainment, and recreation",0.16450,0.08620,0.10409,0.16450,0.08620,0.10409,0.04196,0.05767,0.05311,non-corporate,0.00690,0.00497,0.00553,0.09895,0.11466,0.11010,0.70460,0.68998,0.69380
149,149,Finance and insurance,55.56686,309388598976.24060,,0.05886,0.20854,0.18857,0.19435,Finance and insurance,0.23417,0.16160,0.17816,0.23417,0.16160,0.17816,0.04578,0.06286,0.05790,non-corporate,0.01072,0.01016,0.01032,0.10464,0.12172,0.11676,0.38404,0.35872,0.36532
150,150,Health care and social assistance,31.77017,712395799031.93506,,0.05663,0.20327,0.18196,0.18810,Health care and social assistance,0.21144,0.13891,0.15534,0.21144,0.13891,0.15534,0.04446,0.06120,0.05633,non-corporate,0.00940,0.00850,0.00875,0.10109,0.11783,0.11296,0.57105,0.52564,0.53748
151,151,Information,20.47709,167179370662.11737,,0.08615,0.18521,0.15666,0.16494,Information,0.12214,0.03955,0.05845,0.12214,0.03955,0.05845,0.03993,0.05487,0.05054,non-corporate,0.00488,0.00217,0.00295,0.12609,0.14102,0.13669,0.87513,0.86896,0.87057
152,152,Management of companies and enterprises,43.27634,90403382551.37852,,0.07684,0.20763,0.18738,0.19322,Management of companies and enterprises,0.23033,0.15759,0.17416,0.23033,0.15759,0.17416,0.04555,0.06256,0.05762,non-corporate,0.01049,0.00986,0.01003,0.12239,0.13940,0.13446,0.47085,0.43340,0.44317
153,153,Manufacturing,40.15757,649562708071.83960,,0.07667,0.20016,0.17643,0.18331,Manufacturing,0.19736,0.11901,0.13698,0.19736,0.11901,0.13698,0.04368,0.05982,0.05513,non-corporate,0.00862,0.00712,0.00755,0.12035,0.13649,0.13181,0.58820,0.57353,0.57736
154,154,Mining,13.41725,317661770012.39130,,0.07170,0.18406,0.15511,0.16350,Mining,0.11582,0.03268,0.05172,0.11582,0.03268,0.05172,0.03965,0.05448,0.05018,non-corporate,0.00459,0.00178,0.00260,0.11135,0.12618,0.12187,0.89918,0.89419,0.89549
155,155,"Other services, except government",36.31857,434659499245.39331,,0.04450,0.20315,0.18185,0.18798,"Other services, except government",0.21091,0.13852,0.15490,0.21091,0.13852,0.15490,0.04443,0.06117,0.05630,non-corporate,0.00937,0.00847,0.00872,0.08893,0.10568,0.10081,0.56117,0.51790,0.52929
156,156,"Professional, scientific, and technical services",20.96846,309828490194.09827,,0.14879,0.19200,0.16596,0.17349,"Professional, scientific, and technical services",0.15800,0.07861,0.09674,0.15800,0.07861,0.09674,0.04164,0.05719,0.05268,non-corporate,0.00658,0.00450,0.00510,0.19042,0.20598,0.20147,0.77085,0.75212,0.75701
157,157,Real estate and rental and leasing,83.68263,10382151247639.08984,,0.00748,0.21467,0.19746,0.20244,Real estate and rental and leasing,0.25900,0.19026,0.20594,0.25900,0.19026,0.20594,0.04731,0.06508,0.05992,non-corporate,0.01225,0.01238,0.01234,0.05479,0.07256,0.06740,0.12578,0.11211,0.11573
159,159,Transportation and warehousing,17.78260,270737659129.71378,,0.06294,0.18655,0.15857,0.16667,Transportation and warehousing,0.12946,0.04782,0.06649,0.12946,0.04782,0.06649,0.04027,0.05535,0.05097,non-corporate,0.00521,0.00265,0.00339,0.10321,0.11829,0.11391,0.85958,0.84900,0.85176
162,162,Overall,38.79367,20307631178754.23438,,0.06162,0.11870,0.17900,0.15968,Overall,-0.21758,0.11545,0.03721,0.06875,0.19630,0.16628,0.04271,0.06557,0.05825,corporate,0.00294,0.01287,0.00969,0.10432,0.12719,0.11986,0.60954,0.58748,0.59361
163,163,Overall,68.60454,17036588368688.33008,,0.02639,0.20988,0.19064,0.19620,Overall,0.23971,0.16844,0.18471,0.23971,0.16844,0.18471,0.04611,0.06337,0.05836,non-corporate,0.01105,0.01067,0.01078,0.07250,0.08976,0.08475,0.28098,0.26454,0.26887
